Secure Flash drive,22443,19989,20003,Peacekeeper,164,$
SSD drive,35000,34882,34804,Peacekeeper,327,$
Trijicon REAP-IR thermal scope,355794,355794,355794,Mechanic,199245,₽
T-7 Thermal Goggles with a Night Vision mount,7000,15372000,15372000,Mechanic,268800,₽
Canister with purified water,144444,159023,163720,Therapist,31500,₽
GPNVG-18 Night Vision goggles,145004,145004,145004,Mechanic,81202,₽
T H I C C Weapon case,8800000,8475000,7964422,Therapist,850500,₽
Lucky Scav Junk box,1108776,1107638,1114655,Therapist,765619,₽
TerraGroup Labs keycard (Blue),300000,300000,300000,Therapist,189000,₽
TerraGroup Labs access keycard,100000,100000,100000,Therapist,63000,₽
Money case,398201,398201,398201,Therapist,250867,₽
Red Rebel ice pick,4000000,3879150,4067230,Jaeger,663978,₽
Ammunition case,544000,559795,555581,Therapist,102408,₽
Intelligence folder,351000,320865,311102,Peacekeeper,282,$
Physical bitcoin,144908,144654,145410,Therapist,144908,₽
Documents case,330000,333577,341923,Therapist,105505,₽
Medicine case,600000,572430,587209,Therapist,230647,₽
Bronze lion,115999,120177,122911,Therapist,102649,₽
T H I C C item case,3100000,3100000,3100000,Therapist,1953000,₽
Kiba Arms outer door key,600000,506982,504727,Therapist,95773,₽
Bottle of Fierce Hatchling moonshine,245555,238431,231894,Therapist,126000,₽
Graphics card,374000,339067,322763,Therapist,124740,₽
Key tool,705000,716920,704217,Therapist,471525,₽
Health Resort west wing room 219 key,111111,118663,144732,Therapist,15763,₽
Corrugated hose,14999,16606,18262,Therapist,7687,₽
S I C C organizational pouch,750000,750000,750000,Therapist,472500,₽
Magazine case,172222,165376,173345,Therapist,148050,₽
TerraGroup Labs keycard (Yellow),18000000,23842345,28029912,Therapist,567000,₽
Factory emergency exit key,120000,109517,112026,Therapist,32200,₽
TerraGroup Labs keycard (Violet),7000000,7292268,7268129,Therapist,378000,₽
Health Resort east wing room 226 key,345000,437908,443184,Therapist,49329,₽
Car battery,48993,41919,42489,Therapist,38785,₽
FP-100 filter absorber,122322,120571,122006,Therapist,51660,₽
6-STEN-140-M military battery,230000,250265,270326,Therapist,207900,₽
TerraGroup Labs keycard (Black),25000000,25000000,25000000,Therapist,630000,₽
LEDX Skin Transilluminator,1279999,1297615,1331914,Therapist,305550,₽
TerraGroup Labs keycard (Green),1000000,1000000,1000000,Therapist,630000,₽
TerraGroup Labs keycard (Red),53999,53999,42795777,Therapist,1638000,₽
RB-RH key,15400,15032,16533,Therapist,5703,₽
RB-ST key,85000,83660,89331,Therapist,59863,₽
RB-PSP2 key,29000,35651,47982,Therapist,18339,₽
RB-SMP key,528888,374466,401967,Therapist,45492,₽
RB-KSM key,328000,337442,367691,Therapist,15882,₽
RB-KORL key,25999,44799,50700,Therapist,6191,₽
RB-ORB3 key,99500,92395,107205,Therapist,12670,₽
RB-PP key,4000,10017,8461,Therapist,3150,₽
RB-PSP1 key,35353,37062,45445,Therapist,15819,₽
RB-MP22 key,39975,37092,39588,Therapist,18283,₽
RB-MP21 key,18000,71677,42225,Therapist,15809,₽
RB-MP13 key,43000,32645,38700,Therapist,11498,₽
RB-MP11 key,18776,18243,19215,Therapist,10150,₽
RB-AM key,33000,75932,62691,Therapist,16505,₽
RB-OB key,19070,19070,19070,Therapist,12014,₽
RB-VO marked key,593000,563100,546048,Therapist,157500,₽
RB-BK marked key,699799,590531,579101,Therapist,157500,₽
EMERCOM medical unit key,210000,183305,214082,Therapist,45368,₽
RB-KPRL key,147500,144455,172927,Therapist,51673,₽
Health Resort east wing room 314 key,47500,50293,64279,Therapist,31714,₽
Health Resort east wing room 313 key,81234,110388,109295,Therapist,33220,₽
Health Resort east wing room 306 key,61750,58218,59838,Therapist,34663,₽
Health Resort east wing room 206 key,62000,64702,71239,Therapist,37926,₽
Health Resort east wing room 205 key,66665,65451,77021,Therapist,26500,₽
Health Resort east wing office room 107 key,64850,83279,91331,Therapist,39166,₽
Health Resort east wing room 308 key,61999,57449,56075,Therapist,34663,₽
Health Resort west wing room 306 key,33500,36960,41449,Therapist,17779,₽
Health Resort west wing room 301 key,399999,410955,478035,Therapist,54810,₽
Health Resort west wing room 222 key,80000,90492,96379,Therapist,56700,₽
Health Resort west wing room 221 key,91000,90409,93071,Therapist,56700,₽
Health Resort west wing room 220 key,105000,113829,146299,Therapist,32760,₽
RB-MP12 key,22000,23842,31076,Therapist,14018,₽
RB-AK key,16000,14010,14078,Therapist,2062,₽
Machinery key,16000,12333,11282,Therapist,1269,₽
RB-ORB2 key,228000,183778,189860,Therapist,11782,₽
Goshan cash register key,310000,310000,445466,Therapist,9721,₽
RB-PSV1 key,30000,38245,43883,Therapist,18409,₽
Health Resort east wing room 216 key,19000,18216,16707,Therapist,2961,₽
RB-RS key,22222,43959,45295,Therapist,7592,₽
RB-TB key,20000,31148,33771,Therapist,9463,₽
Unknown key,5000,9761,10309,Therapist,1011,₽
RB-OP key,20000,36712,30566,Therapist,2837,₽
Health Resort east wing room 328 key,90000,111444,118188,Therapist,41580,₽
RB-GN key,23000,31817,28893,Therapist,3321,₽
Health Resort west wing room 216 key,399999,462417,517888,Therapist,53235,₽
RB-ORB1 key,266666,312233,302504,Therapist,12166,₽
Dorm room 314 marked key,2050000,2147895,2153266,Therapist,315000,₽
Health Resort east wing room 222 key,410000,419248,431430,Therapist,49165,₽
TerraGroup Labs arsenal storage room key,54999,113906,94292,Therapist,56700,₽
RB-PSV2 key,37777,42196,42057,Therapist,18266,₽
Health Resort management office safe key,66666,74028,87590,Therapist,12099,₽
Shturman's stash key,355555,366632,357026,Therapist,95402,₽
TerraGroup Labs weapon testing area key,55000,132726,85062,Therapist,37800,₽
Dorm room 203 key,11000,12992,13561,Therapist,2249,₽
Dorm room 303 key,9750,9712,9491,Therapist,4679,₽
Health Resort west wing room 218 key,185000,186488,187025,Therapist,56700,₽
Military checkpoint key,27000,31372,29363,Therapist,15787,₽
Tarcone Director's office key,76900,58727,71486,Therapist,13297,₽
Portable bunkhouse key,45678,148920,148920,Therapist,2115,₽
Trailer park portable cabin key,6969,7751,7888,Therapist,4162,₽
RB-AO key,14999,17988,17942,Therapist,13296,₽
Health Resort universal utility room key,84333,101559,107327,Therapist,17010,₽
Health Resort west wing office room 104 key,88500,102237,114984,Therapist,59850,₽
TerraGroup Labs manager's office room key,52911,68998,69164,Therapist,31500,₽
Health Resort west wing office room 112 key,109999,93247,107331,Therapist,47263,₽
Dorm guard desk key,8999,9605,9745,Therapist,8946,₽
Dorm room 214 key,16997,16796,16389,Therapist,16796,₽
Dorm room 114 key,350000,269688,263450,Therapist,13262,₽
Dorm room 220 key,12222,13760,15378,Therapist,6994,₽
Dorm room 104 key,7420,8132,8790,Therapist,2597,₽
Dorm room 206 key,3887,3422,3613,Therapist,1093,₽
NIXXOR lens,41320,42939,43853,Therapist,15939,₽
Metal cutting scissors,14999,15018,14639,Therapist,14049,₽
Chain with Prokill medallion,65000,64685,66586,Therapist,53550,₽
Tetriz portable game console,76611,79119,80983,Therapist,75600,₽
Deadlyslob's beard oil,35499,34993,34689,Therapist,34933,₽
Roler Submariner gold wrist watch,36999,48284,49954,Therapist,44761,₽
42 Signature Blend English Tea,20000,22220,21485,Therapist,17485,₽
Portable Powerbank,17000,19495,20087,Therapist,12846,₽
Ophthalmoscope,68420,73588,78750,Therapist,53495,₽
Dry fuel,27000,28131,27530,Therapist,26570,₽
Alkaline cleaner for heat exchangers,16000,13335,13558,Therapist,5328,₽
Propane tank (5L),34555,30805,32657,Therapist,7967,₽
Medical bloodset,7999,8941,9566,Therapist,6152,₽
Shustrilo sealing foam,29000,30780,31643,Therapist,22366,₽
Clin window cleaner,9999,14487,14051,Therapist,4484,₽
Magnet,11000,13948,13105,Therapist,8009,₽
Soap,9400,8367,8277,Therapist,2451,₽
Golden neck chain,39000,38470,37250,Therapist,24052,₽
Chainlet,7999,8286,8457,Therapist,4558,₽
Silver Badge,34000,37471,37409,Therapist,37983,₽
Pliers,9000,9563,9180,Therapist,5040,₽
Wrench,17999,8945,8287,Therapist,2233,₽
Screwdriver,6900,8036,7901,Therapist,2205,₽
Printer paper,18888,15806,17925,Therapist,1472,₽
T-Shaped plug,14444,10078,9731,Therapist,1563,₽
USB Adapter,4775,5699,5978,Therapist,1094,₽
Toothpaste,5500,4420,5246,Therapist,1214,₽
Construction measuring tape,8000,6474,6145,Therapist,2374,₽
Duct tape,12222,10777,10337,Therapist,1574,₽
Power cord,20000,24298,23574,Therapist,7952,₽
RAM,10420,8836,8614,Therapist,6909,₽
PC CPU,8777,8663,8434,Therapist,8766,₽
CPU fan,9900,14336,13450,Therapist,2942,₽
Broken GPhone smartphone,12111,11598,11988,Therapist,11770,₽
Ultraviolet lamp,9799,9838,9367,Therapist,9799,₽
D Size battery,4200,4639,4730,Therapist,1390,₽
AA Battery,5500,6802,7481,Therapist,411,₽
Broken GPhone X smartphone,31000,34618,34836,Therapist,20160,₽
Capacitors,12000,13043,12540,Therapist,1575,₽
Gas analyzer,17888,15359,15190,Therapist,13669,₽
Wooden clock,51000,51819,52667,Therapist,52489,₽
Cat figurine,39500,39750,39146,Therapist,39254,₽
Strike Cigarettes,5999,9965,8768,Therapist,1966,₽
Energy-saving lamp,19500,12791,12725,Therapist,6818,₽
Zibbo lighter,10500,8535,8337,Therapist,6059,₽
Bolts,14444,16600,13650,Therapist,6930,₽
Screw nuts,14000,16585,13468,Therapist,5481,₽
Expeditionary fuel tank,89777,95129,91618,Therapist,31500,₽
Paracord,67000,65109,65940,Therapist,14175,₽
Dogtag USEC,600,600,600,Therapist,378,₽
Dogtag BEAR,600,600,600,Therapist,378,₽
Pack of nails,11000,7738,7702,Therapist,2586,₽
Kiba Arms inner grate door key,100000,105671,106942,Therapist,105463,₽
NecrusPharm pharmacy key,75555,53239,56105,Therapist,51283,₽
Power substation utility cabin key,4899,4353,4122,Therapist,1021,₽
OLI outlet utility room key,6500,6645,7517,Therapist,2053,₽
OLI administration office key,15000,13787,14316,Therapist,9464,₽
Health Resort east wing room 310 key,52420,51262,53015,Therapist,43470,₽
Health Resort west wing room 325 key,10000,8364,11680,Therapist,2646,₽
Health Resort west wing room 303 key,19000,32795,33192,Therapist,5103,₽
Maska-1SCh face shield (Killa),120000,166271,221798,Ragman,54436,₽
Altyn face shield,28999,28256,29239,Ragman,26945,₽
Kiver-M face shield,19000,19100,18341,Ragman,12435,₽
Nippers,10699,10471,10585,Therapist,10710,₽
Health Resort west wing room 309 key,8887,9560,12640,Therapist,4284,₽
Adrenaline injector,19800,19615,19427,Therapist,19820,₽
SJ6 TGLabs combat stimulant injector,43999,42772,42143,Therapist,17609,₽
CMS surgical kit,26555,25469,25597,Therapist,22680,₽
Golden Star balm,79000,76203,74256,Therapist,18200,₽
Vaseline balm,17777,20210,21087,Therapist,9352,₽
Grizzly medical kit,30000,34871,33243,Therapist,22076,₽
Health Resort west wing room 323 key,8000,8779,11347,Therapist,4788,₽
IFAK individual first aid kit,17000,16647,16687,Therapist,14971,₽
Salewa first aid kit,19420,22374,23651,Therapist,11884,₽
Car first aid kit,11999,12118,11991,Therapist,5821,₽
Morphine injector,16998,17160,16935,Therapist,15942,₽
Augmentin antibiotic pills,12222,17002,16185,Therapist,8671,₽
Bottle of Tarkovskaya vodka,26000,22885,22868,Therapist,15750,₽
Jar of DevilDog mayo,7999,9838,9704,Therapist,9450,₽
Can of Hot Rod energy drink,10000,11400,11453,Therapist,2669,₽
Can of TarCola soda,29000,16478,15054,Therapist,2507,₽
Can of Max Energy energy drink,12998,12684,12848,Therapist,1848,₽
Hand drill,37888,36793,37182,Therapist,37800,₽
Bottle of Dan Jackiel whiskey,38000,39641,41109,Therapist,31500,₽
Pack of Vita juice,7500,8690,9366,Therapist,1134,₽
Pack of apple juice,8000,6726,7300,Therapist,2156,₽
Insulating tape,8999,12385,9625,Therapist,1272,₽
Can of Ice Green tea,7000,6952,7202,Therapist,1530,₽
Pack of Russian Army pineapple juice,8000,7987,8719,Therapist,1345,₽
Bottle of water (0.6L),14799,13705,14197,Therapist,1544,₽
Zagustin hemostatic drug injector,31111,32941,32234,Therapist,21130,₽
MRE ration pack,17000,13467,14690,Therapist,2558,₽
Can of squash spread,12777,12985,13442,Therapist,3886,₽
Can of green peas,13900,10938,11111,Therapist,4095,₽
Military COFDM Wireless Signal Transmitter,98090,95293,96902,Therapist,91665,₽
Health Resort east wing office room 108 key,12000,13640,13858,Therapist,2024,₽
Can of humpback salmon,12000,10254,10798,Therapist,1846,₽
Emelya rye croutons,7000,6034,5901,Therapist,188,₽
Pack of sugar,20000,34150,29799,Therapist,10388,₽
Slickers chocolate bar,6990,6874,7083,Therapist,1427,₽
SAS drive,40000,40808,39439,Peacekeeper,376,$
Alyonka chocolate bar,22000,20755,19225,Therapist,4084,₽
Army crackers,11111,13203,13107,Therapist,1513,₽
Dogtag case,340000,341118,341483,Therapist,195300,₽
Simple wallet,9333,8708,8516,Therapist,6641,₽
Mr. Holodilnick thermal bag,340000,340000,340000,Therapist,214200,₽
LShZ-2DTM face shield,57777,51866,54256,Ragman,17980,₽
Weapon case,874566,874566,874566,Therapist,550977,₽
Rechargeable battery,10500,10439,10401,Therapist,10732,₽
Slim diary,28000,33215,31441,Peacekeeper,290,$
Diary,29999,33337,32450,Peacekeeper,237,$
Phase control relay,8000,11652,11404,Therapist,5985,₽
Flat screwdriver (Long),20500,20555,20301,Therapist,20790,₽
Pistol case,199999,213380,194747,Jaeger,6600,₽
Radiator helix,12000,11475,12156,Therapist,9135,₽
OLI cash register key,14111,11811,11358,Therapist,7579,₽
Can of condensed milk,15999,15355,15471,Therapist,15714,₽
ZB-014 key,15000,16955,17564,Therapist,9219,₽
Old firesteel,39500,39274,39195,Therapist,39943,₽
Can of Majaica coffee beans,10899,15352,16369,Therapist,9436,₽
Gold skull ring,63000,59846,57556,Therapist,34650,₽
Weather station safe key,11000,17705,14805,Therapist,12034,₽
Broken LCD,17000,15170,15003,Therapist,13545,₽
Battered antique book,39750,39814,39398,Therapist,39708,₽
Golden 1GPhone smartphone,27000,28990,28991,Therapist,28123,₽
Dorm room 105 key,40000,42000,50168,Therapist,9749,₽
Gas mask air filter,18500,18939,16996,Therapist,6325,₽
Rye croutons,19999,17142,16849,Therapist,315,₽
Bottle of hydrogen peroxide,10500,10355,10171,Therapist,7666,₽
Antique teapot,31999,31118,31802,Therapist,29547,₽
Pliers Elite,27999,24313,26026,Therapist,18270,₽
Portable defibrillator,141000,141364,139647,Therapist,141498,₽
Pack of screws,6999,6759,6588,Therapist,1978,₽
Silicone tube,12950,11933,11910,Therapist,11907,₽
#FireKlean gun lube,23333,26033,25393,Therapist,22950,₽
Surv12 field surgical kit,50000,47186,45629,Therapist,45360,₽
Pack of Grand juice,7500,7862,8265,Therapist,2150,₽
Xenomorph sealing foam,22555,24871,24630,Therapist,21280,₽
SJ1 TGLabs combat stimulant injector,26500,27099,26482,Therapist,22613,₽
Yotota car key,9000,8256,9815,Therapist,759,₽
Ortodontox toothpaste,5998,5871,5159,Therapist,3402,₽
Can of beef stew (Large),9999,14333,14057,Therapist,5288,₽
Can of herring,16666,15678,14819,Therapist,1857,₽
Classic matches,15000,12537,11240,Therapist,1273,₽
Can of beef stew (Small),10499,9588,9547,Therapist,7089,₽
Virtex programmable processor,124999,118315,134352,Therapist,75600,₽
Dorm room 315 key,8900,10967,8205,Therapist,1591,₽
Vulkan-5 face shield,55000,41706,41706,Ragman,33678,₽
"Gunpowder ""Eagle""",40000,40207,37905,Therapist,20160,₽
Gas station office key,133333,99401,104889,Therapist,4886,₽
Malboro Cigarettes,7476,9724,9050,Therapist,1392,₽
WD-40 (100ml),8888,7348,7273,Therapist,4384,₽
Fuel conditioner,44999,41762,43365,Therapist,38181,₽
Apollo Soyuz cigarettes,5000,5395,5645,Therapist,1575,₽
Health Resort east wing room 322 key,25000,13639,14452,Therapist,4788,₽
Dorm room 110 key,20000,22755,24274,Therapist,10270,₽
Power supply unit,40000,45906,46203,Therapist,5000,₽
Pile of meds,11420,10873,10301,Therapist,4095,₽
Golden rooster,56000,57309,57194,Therapist,57057,₽
ZSh-1-2M face shield,23333,22649,23689,Ragman,10758,₽
Phased array element,110000,130739,135644,Therapist,104580,₽
IDEA cash register key,11000,11500,12182,Therapist,9072,₽
OLI logistics department office key,80000,72286,78164,Therapist,48524,₽
Aquamari water bottle with filter,22000,21760,22385,Therapist,5418,₽
Health Resort east wing room 213 key,9999,9091,10373,Therapist,3780,₽
Damaged hard drive,18000,15138,14898,Therapist,4719,₽
Printed circuit board,10000,11209,11110,Therapist,8032,₽
"Gunpowder ""Kite""",24000,24297,21043,Therapist,8820,₽
Electric drill,30000,30169,28634,Therapist,20754,₽
WD-40 (400ml),12000,12154,11999,Therapist,10874,₽
Schaman shampoo,19449,18129,18680,Therapist,4410,₽
